names,amplitude,latency,type,group
C006,0.7136,9.7575,CountHeartBeats,C
C006,0.0455,15.8196,CountVolumes,C
C006,0.1491,15.8298,CountHeartBeats,C
C006,0.3275,19.0994,CountVolumes,C
C006,0.0694,25.9119,CountHeartBeats,C
C006,0.3939,16.3874,Answer,C
C007,0.0542,22.5737,CountVolumes,C
C007,0.0643,6.9277,Answer,C
C007,0.0236,21.6387,CountHeartBeats,C
C007,0.0305,19.2582,Answer,C
C007,0.0146,8.2783,CountVolumes,C
C007,0.0523,0.5522,Answer,C
C007,0.0194,16.3634,CountHeartBeats,C
C007,0.0346,18.8906,Answer,C
C007,0.0127,21.7605,CountVolumes,C
C007,0.0302,0.1889,Answer,C
C007,0.0258,26.9016,CountHeartBeats,C
C007,0.0088,19.1837,Answer,C
C007,0.0311,21.789,CountVolumes,C
C007,0.0251,22.8889,CountHeartBeats,C
C007,0.0422,17.9539,CountVolumes,C
C007,0.0058,8.9213,Answer,C
C007,0.0296,17.6257,CountHeartBeats,C
C007,0.0245,18.7768,Answer,C
C007,0.0271,27.3415,CountVolumes,C
C007,0.0221,18.419,Answer,C
C007,0.0207,25.2379,CountHeartBeats,C
C007,0.0493,19.7058,Answer,C
C008,0.0178,10.4649,CountVolumes,C
C008,0.0355,12.1212,Answer,C
C008,0.0515,18.2753,CountVolumes,C
C008,0.0208,14.2427,CountVolumes,C
C008,0.0157,10.3127,CountVolumes,C
C008,0.0217,21.3414,CountVolumes,C
C008,0.1421,15.9953,Answer,C
C009,0.0168,11.4287,CountVolumes,C
C009,0.1122,3.7531,Answer,C
C009,0.0106,8.7064,CountHeartBeats,C
C009,0.0597,0.0706,Answer,C
C009,0.0136,7.7499,CountVolumes,C
C009,0.1184,1.7809,Answer,C
C009,0.0441,19.2186,CountHeartBeats,C
C009,0.0179,16.0892,CountVolumes,C
C009,0.1372,3.6145,Answer,C
C009,0.0112,13.6874,CountHeartBeats,C
C009,0.0631,0.0572,Answer,C
C009,0.1111,2.0559,Answer,C
C009,0.0462,26.1012,CountHeartBeats,C
C009,0.0299,20.7072,Answer,C
C009,0.1059,3.0664,Answer,C
C009,0.0506,19.4135,CountHeartBeats,C
C009,0.0243,19.708,Answer,C
C009,0.0507,1.4703,Answer,C
C009,0.0537,1.3709,Answer,C
C010,0.1323,21.2669,CountVolumes,C
C010,0.127,20.6627,Answer,C
C010,0.0713,11.6516,CountHeartBeats,C
C010,0.0578,13.9815,Answer,C
C010,0.0541,16.9775,CountVolumes,C
C010,0.1818,8.8952,Answer,C
C010,0.0765,10.7037,CountHeartBeats,C
C010,0.0517,13.9608,Answer,C
C010,0.1073,14.4279,CountVolumes,C
C010,0.0522,13.2784,Answer,C
C010,0.0574,12.685,CountHeartBeats,C
C010,0.0894,3.9369,Answer,C
C010,0.0639,4.7042,CountVolumes,C
C010,0.0706,13.6015,Answer,C
C010,0.1164,27.3419,CountHeartBeats,C
C010,0.0305,13.6047,Answer,C
C010,0.2296,15.5769,CountVolumes,C
C010,0.0614,14.8767,Answer,C
C010,0.0521,16.9701,CountHeartBeats,C
C010,0.0885,13.9867,Answer,C
C010,0.0696,13.0845,CountVolumes,C
C010,0.0396,4.7133,Answer,C
C010,0.1666,16.7294,CountHeartBeats,C
C010,0.2045,13.6133,Answer,C
C011,0.1397,19.8983,CountVolumes,C
C011,0.0369,9.8776,Answer,C
C011,0.1073,13.7687,CountHeartBeats,C
C011,0.0154,1.5194,Answer,C
C011,0.057,22.4351,CountVolumes,C
C011,0.0228,8.2343,CountHeartBeats,C
C011,0.0965,6.7302,Answer,C
C011,0.0583,4.2696,CountVolumes,C
C011,0.0281,3.7915,Answer,C
C011,0.0816,18.2809,CountHeartBeats,C
C011,0.1306,18.0405,CountVolumes,C
C011,0.0845,20.4159,CountHeartBeats,C
C011,0.1068,23.604,CountVolumes,C
C011,0.019,23.8373,CountHeartBeats,C
C011,0.0212,19.3459,CountVolumes,C
C011,0.015,6.7326,Answer,C
C011,0.033,16.5735,CountHeartBeats,C
C011,0.066,14.7635,Answer,C
C012,0.0039,17.0709,CountVolumes,C
C012,0.0031,15.6366,Answer,C
C012,0.0039,9.945,CountHeartBeats,C
C012,0.0029,16.7867,Answer,C
C012,0.0033,10.1171,CountVolumes,C
C012,0.0037,14.6723,Answer,C
C012,0.0034,0.0907,CountHeartBeats,C
C012,0.0028,16.6229,Answer,C
C012,0.0023,11.7555,CountVolumes,C
C012,0.0029,20.7424,Answer,C
C012,0.0045,9.7207,CountHeartBeats,C
C012,0.0026,20.0034,Answer,C
C012,0.0035,10.7346,CountVolumes,C
C012,0.0034,17.6178,Answer,C
C012,0.0028,5.6638,CountHeartBeats,C
C012,0.0058,14.9923,Answer,C
C012,0.003,11.5141,CountVolumes,C
C012,0.0044,15.1151,Answer,C
C012,0.0029,1.0815,CountHeartBeats,C
C012,0.0029,18.0437,Answer,C
C012,0.004,15.7102,CountVolumes,C
C012,0.0022,19.7172,Answer,C
C012,0.0022,10.6943,CountHeartBeats,C
C012,0.0295,13.8066,Answer,C
C013,0.0131,21.5946,CountHeartBeats,C
C013,0.0853,6.3504,Answer,C
C013,0.0091,23.2336,CountVolumes,C
C013,0.0129,10.0574,Answer,C
C013,0.0108,1.9054,Answer,C
C013,0.0145,14.1248,CountVolumes,C
C013,0.017,16.3414,CountHeartBeats,C
C013,0.1371,7.3033,Answer,C
C013,0.0244,7.9123,CountVolumes,C
C013,0.0706,0.5387,CountHeartBeats,C
C013,0.0191,0.6349,Answer,C
C013,0.0239,23.4935,CountVolumes,C
C013,0.0167,17.5469,Answer,C
C013,0.0508,12.7738,Answer,C
C014,0.0088,0.1069,CountVolumes,C
C014,0.0071,1.6527,Answer,C
C014,0.0105,1.7728,CountHeartBeats,C
C014,0.0058,13.07,Answer,C
C014,0.0016,19.9895,CountVolumes,C
C014,0.0034,1.0575,Answer,C
C014,0.0068,5.1002,CountHeartBeats,C
C014,0.0023,15.8524,CountVolumes,C
C014,0.0031,2.0533,Answer,C
C014,0.0052,10.4624,CountHeartBeats,C
C014,0.0039,4.0511,Answer,C
C014,0.0002,19.641,CountVolumes,C
C014,0.0056,20.4512,Answer,C
C014,0.0055,6.0717,CountHeartBeats,C
C014,0.0044,4.3079,Answer,C
C014,0.0022,23.842,CountVolumes,C
C014,0.0048,2.09,Answer,C
C014,0.0077,0.1187,CountHeartBeats,C
C014,0.0041,15.0582,Answer,C
C014,0.0028,6.0821,CountVolumes,C
C014,0.0094,2.094,Answer,C
C014,0.0022,9.0881,CountHeartBeats,C
C014,0.0322,15.2067,Answer,C
C015,0.0033,13.0694,CountVolumes,C
C015,0.003,18.053,Answer,C
C015,0.0055,20.0113,CountHeartBeats,C
C015,0.0021,9.6135,Answer,C
C015,0.0027,17.0796,CountVolumes,C
C015,0.0025,20.5251,CountVolumes,C
C015,0.0026,18.1103,Answer,C
C015,0.0071,22.0968,CountHeartBeats,C
C015,0.005,15.5973,Answer,C
C015,0.005,11.2626,CountVolumes,C
C015,0.0025,9.0333,Answer,C
C015,0.0038,16.1192,CountHeartBeats,C
C015,0.0027,3.0599,Answer,C
C015,0.0025,14.8838,CountVolumes,C
C015,0.0055,9.0861,Answer,C
C015,0.0037,14.8321,CountHeartBeats,C
C015,0.0022,18.0955,CountVolumes,C
C015,0.0027,18.0634,CountHeartBeats,C
C015,0.0367,10.1924,Answer,C
C017,0.0695,13.0273,CountVolumes,C
C017,0.1552,5.6346,Answer,C
C017,0.0349,0.0611,CountHeartBeats,C
C017,0.1067,0.517,Answer,C
C017,0.1095,19.4469,CountVolumes,C
C017,0.1172,10.6035,Answer,C
C017,0.028,0.0389,CountHeartBeats,C
C017,0.117,0.325,Answer,C
C017,0.0384,1.0457,Answer,C
C017,0.081,27.7274,CountHeartBeats,C
C017,0.0169,20.5929,Answer,C
C017,0.1167,2.3444,Answer,C
C017,0.0372,17.6412,CountHeartBeats,C
C017,0.0836,3.0301,Answer,C
C017,0.0293,17.3084,CountHeartBeats,C
C017,0.0167,21.7037,CountVolumes,C
C017,0.1408,3.4631,Answer,C
C017,0.056,9.0704,CountHeartBeats,C
C017,0.2402,20.4342,Answer,C
C019,0.0043,22.2201,CountVolumes,C
C019,0.0043,16.1965,Answer,C
C019,0.0062,24.2016,CountHeartBeats,C
C019,0.005,16.1762,Answer,C
C019,0.0057,4.1879,CountVolumes,C
C019,0.0045,16.1717,Answer,C
C019,0.0099,14.1873,CountHeartBeats,C
C019,0.0054,20.1697,Answer,C
C019,0.0051,2.2111,CountVolumes,C
C019,0.0041,1.1954,Answer,C
C019,0.0038,17.2202,CountHeartBeats,C
C019,0.0046,18.1954,Answer,C
C019,0.0063,26.2108,CountVolumes,C
C019,0.0061,1.1976,Answer,C
C019,0.0059,27.2079,CountHeartBeats,C
C019,0.0072,2.1833,Answer,C
C019,0.0093,21.2056,CountVolumes,C
C019,0.0052,20.189,Answer,C
C019,0.0057,6.2011,CountHeartBeats,C
C019,0.0054,4.1906,Answer,C
C019,0.006,0.1889,CountVolumes,C
C019,0.0063,3.1894,Answer,C
C019,0.0071,17.2027,CountHeartBeats,C
C019,0.0417,9.3056,Answer,C
C020,0.0389,22.0138,CountVolumes,C
C020,0.0089,16.5352,Answer,C
C020,0.0136,14.8163,CountHeartBeats,C
C020,0.017,12.6584,CountVolumes,C
C020,0.0112,1.0774,Answer,C
C020,0.005,17.3223,CountHeartBeats,C
C020,0.0146,26.5739,CountVolumes,C
C020,0.0405,4.7427,Answer,C
C020,0.0131,23.9958,CountHeartBeats,C
C020,0.0152,5.5625,Answer,C
C020,0.0084,18.9319,CountVolumes,C
C020,0.0399,17.8853,CountHeartBeats,C
C020,0.0429,0.4268,Answer,C
C020,0.0083,22.0395,CountVolumes,C
C020,0.0078,20.3528,CountHeartBeats,C
C020,0.0072,18.5737,CountHeartBeats,C
C020,0.076,18.4785,Answer,C
C021,0.1841,16.1468,CountVolumes,C
C021,0.1068,3.1302,Answer,C
C021,0.2469,16.0489,CountHeartBeats,C
C021,0.2233,6.1039,Answer,C
C021,0.0829,23.9391,CountVolumes,C
C021,0.2621,24.9227,CountHeartBeats,C
C021,0.1724,6.1277,Answer,C
C021,0.3141,20.296,CountVolumes,C
C021,0.1016,15.4454,Answer,C
C021,0.0753,19.9189,CountHeartBeats,C
C021,0.3119,0.002,Answer,C
C021,0.3368,18.9006,CountVolumes,C
C021,0.2393,7.7901,Answer,C
C021,0.2224,15.7155,CountHeartBeats,C
C021,0.1754,5.9001,Answer,C
C021,0.0874,25.5626,CountVolumes,C
C021,0.3384,3.6496,Answer,C
C021,0.312,26.0427,CountHeartBeats,C
C021,0.2409,21.9911,CountVolumes,C
C021,0.2055,4.1157,Answer,C
C021,0.1719,19.8685,CountHeartBeats,C
C021,0.3583,15.5531,Answer,C
C022,0.1458,25.6787,CountVolumes,C
C022,0.1499,15.0978,Answer,C
C022,0.0882,23.9046,CountHeartBeats,C
C022,0.0691,10.2154,Answer,C
C022,0.0899,20.6908,CountVolumes,C
C022,0.0829,12.9579,Answer,C
C022,0.1807,21.7872,CountHeartBeats,C
C022,0.0379,16.2152,Answer,C
C022,0.1538,16.2093,CountVolumes,C
C022,0.0467,3.2006,Answer,C
C022,0.1611,16.309,CountHeartBeats,C
C022,0.0227,15.2393,Answer,C
C022,0.1426,24.3794,CountVolumes,C
C022,0.1247,3.9582,Answer,C
C022,0.0917,24.0923,CountHeartBeats,C
C022,0.0921,11.2445,Answer,C
C022,0.2006,16.9546,CountVolumes,C
C022,0.1522,16.5241,CountHeartBeats,C
C022,0.1505,20.6069,CountVolumes,C
C022,0.1312,20.3447,CountHeartBeats,C
C022,0.1051,19.5735,Answer,C
C023,0.0346,2.8559,Answer,C
C023,0.0116,0.8835,Answer,C
C023,0.0163,0.897,CountVolumes,C
C023,0.0094,2.8699,Answer,C
C023,0.0072,0.8974,CountHeartBeats,C
C023,0.0175,0.8839,Answer,C
C023,0.0422,12.6018,Answer,C
C023,0.0031,18.8495,CountHeartBeats,C
C023,0.008,20.8389,Answer,C
C023,0.0156,0.844,Answer,C
C023,0.0255,0.8697,Answer,C
C023,0.0024,6.8987,CountVolumes,C
C023,0.0158,20.8736,Answer,C
C023,0.0325,0.8571,Answer,C
C023,0.0046,12.8633,CountVolumes,C
C023,0.0422,0.8766,Answer,C
C023,0.0126,23.8586,CountHeartBeats,C
C023,0.0312,13.997,Answer,C
S001,0.1874,20.8243,Answer,S
S001,0.0419,17.383,CountHeartBeats,S
S001,0.1543,9.046,Answer,S
S001,0.1176,11.7574,CountVolumes,S
S001,0.0992,12.4521,Answer,S
S001,0.1615,10.1454,CountHeartBeats,S
S001,0.0777,16.2181,Answer,S
S001,0.2276,15.1844,CountVolumes,S
S001,0.2159,12.8097,Answer,S
S001,0.0855,12.5199,CountHeartBeats,S
S001,0.094,7.768,Answer,S
S001,0.1215,16.484,CountVolumes,S
S001,0.186,16.8833,Answer,S
S001,0.0315,15.9348,CountHeartBeats,S
S001,0.2136,16.1,Answer,S
S001,0.1258,12.2338,CountVolumes,S
S001,0.2412,2.8759,Answer,S
S001,0.0882,12.3445,CountHeartBeats,S
S001,0.0927,9.4241,Answer,S
S001,0.1918,15.0845,Answer,S
S001,0.2913,8.5822,CountHeartBeats,S
S001,0.5307,14.4171,Answer,S
S002,0.0034,11.486,CountVolumes,S
S002,0.0035,12.4814,CountVolumes,S
S002,0.0045,16.4105,Answer,S
S002,0.0091,23.4856,CountVolumes,S
S002,0.005,9.7729,CountHeartBeats,S
S002,0.0043,2.4832,Answer,S
S002,0.0067,15.9971,CountVolumes,S
S002,0.0254,5.4155,Answer,S
S002,0.0073,7.2896,CountHeartBeats,S
S002,0.0352,11.7824,CountHeartBeats,S
S002,0.0198,12.9141,Answer,S
S002,0.0036,16.4752,CountVolumes,S
S002,0.0411,0.5859,Answer,S
S003,0.0381,14.9569,CountVolumes,S
S003,0.0048,12.5715,Answer,S
S003,0.027,14.6611,CountHeartBeats,S
S003,0.0081,14.6344,Answer,S
S003,0.021,11.6304,CountVolumes,S
S003,0.0186,11.3969,Answer,S
S003,0.022,10.665,CountHeartBeats,S
S003,0.0094,3.1907,Answer,S
S003,0.02,19.0798,CountVolumes,S
S003,0.0079,1.7146,Answer,S
S003,0.0182,18.8697,CountHeartBeats,S
S003,0.0258,15.9669,CountVolumes,S
S003,0.022,15.6498,CountHeartBeats,S
S003,0.0039,19.9539,Answer,S
S003,0.0385,12.2206,CountVolumes,S
S003,0.0038,19.6581,Answer,S
S003,0.0165,12.5798,CountHeartBeats,S
S003,0.0212,6.3717,Answer,S
S003,0.0164,21.6903,CountVolumes,S
S003,0.0111,11.6251,Answer,S
S003,0.0153,20.688,CountHeartBeats,S
S003,0.032,11.577,Answer,S
S004,0.0712,14.0357,CountVolumes,S
S004,0.2177,5.3252,Answer,S
S004,0.2948,10.8808,CountHeartBeats,S
S004,0.1223,2.8805,Answer,S
S004,0.1315,4.1024,CountVolumes,S
S004,0.2867,2.873,Answer,S
S004,0.323,3.0383,CountHeartBeats,S
S004,0.0766,3.0185,Answer,S
S004,0.2902,6.5772,CountVolumes,S
S004,0.0819,3.3393,Answer,S
S004,0.1616,6.322,CountHeartBeats,S
S004,0.0853,5.6795,Answer,S
S004,0.2045,10.5945,CountVolumes,S
S004,0.0894,18.7027,Answer,S
S004,0.2207,11.1443,CountHeartBeats,S
S004,0.0645,3.0863,Answer,S
S004,0.1683,2.3461,CountVolumes,S
S004,0.076,3.2794,Answer,S
S004,0.3235,2.542,CountHeartBeats,S
S004,0.1837,12.2403,Answer,S
S004,0.3402,6.4049,CountVolumes,S
S004,0.3575,3.038,Answer,S
S004,0.2777,7.3816,CountHeartBeats,S
S004,0.4634,6.5514,Answer,S
S005,0.0081,15.715,CountVolumes,S
S005,0.0052,15.7418,Answer,S
S005,0.0135,11.4061,CountHeartBeats,S
S005,0.005,10.7241,Answer,S
S005,0.0085,17.49,CountVolumes,S
S005,0.0077,10.0369,Answer,S
S005,0.0142,8.5656,CountHeartBeats,S
S005,0.0038,10.2728,Answer,S
S005,0.0077,17.6312,CountVolumes,S
S005,0.0054,2.6736,Answer,S
S005,0.0061,26.7675,CountHeartBeats,S
S005,0.0041,12.7797,Answer,S
S005,0.005,23.3224,CountVolumes,S
S005,0.0032,12.9497,CountHeartBeats,S
S005,0.0038,5.1423,CountVolumes,S
S005,0.0044,14.7546,Answer,S
S005,0.0029,13.0712,CountHeartBeats,S
S005,0.0036,11.7388,CountVolumes,S
S005,0.0032,11.7453,CountHeartBeats,S
S005,0.0461,3.8787,Answer,S
S006,0.3334,18.4682,CountVolumes,S
S006,0.0691,15.2728,Answer,S
S006,0.175,18.3377,CountHeartBeats,S
S006,0.2302,5.9554,Answer,S
S006,0.3119,22.2081,CountVolumes,S
S006,0.1007,23.4795,CountHeartBeats,S
S006,0.0914,16.388,Answer,S
S006,0.1745,13.96,CountVolumes,S
S006,0.1306,19.1865,Answer,S
S006,0.0738,14.5623,CountHeartBeats,S
S006,0.2214,14.5076,Answer,S
S006,0.1365,13.9998,CountVolumes,S
S006,0.0607,20.9275,Answer,S
S006,0.0697,9.5794,CountHeartBeats,S
S006,0.4993,5.3702,Answer,S
S006,0.2761,18.5539,CountVolumes,S
S006,0.0853,14.6394,Answer,S
S006,0.2468,23.9701,CountHeartBeats,S
S006,0.0626,17.3182,Answer,S
S006,0.3232,21.7119,CountVolumes,S
S006,0.0746,0.5526,Answer,S
S006,0.1085,5.1813,CountHeartBeats,S
S006,0.2014,18.4719,Answer,S
S007,0.1505,2.7991,CountVolumes,S
S007,0.1933,10.2533,Answer,S
S007,0.2043,17.3641,CountHeartBeats,S
S007,0.251,10.5576,Answer,S
S007,0.1421,13.5639,CountVolumes,S
S007,0.2895,10.5618,Answer,S
S007,0.09,13.4201,CountHeartBeats,S
S007,0.0799,10.8196,Answer,S
S007,0.1237,11.3274,CountVolumes,S
S007,0.2353,5.9506,Answer,S
S007,0.084,9.6191,CountHeartBeats,S
S007,0.2784,3.0011,Answer,S
S007,0.1468,13.3773,CountVolumes,S
S007,0.0621,3.6041,Answer,S
S007,0.1115,14.9373,CountHeartBeats,S
S007,0.0642,10.2705,Answer,S
S007,0.191,17.4542,CountVolumes,S
S007,0.0412,3.6803,Answer,S
S007,0.1837,23.8625,CountHeartBeats,S
S007,0.0873,5.3664,Answer,S
S007,0.1826,9.0632,CountVolumes,S
S007,0.247,7.6616,Answer,S
S007,0.2095,2.2866,CountHeartBeats,S
S007,0.2344,10.1646,Answer,S
S008,0.1482,26.5857,CountVolumes,S
S008,0.0459,14.1209,Answer,S
S008,0.1306,25.1718,CountHeartBeats,S
S008,0.0174,15.5189,Answer,S
S008,0.0743,17.1924,CountVolumes,S
S008,0.0556,17.8821,Answer,S
S008,0.0164,19.205,CountHeartBeats,S
S008,0.0782,21.7583,CountVolumes,S
S008,0.0153,0.1191,Answer,S
S008,0.0218,21.8542,CountVolumes,S
S008,0.0005,21.398,CountHeartBeats,S
S008,0.0656,3.5217,Answer,S
S008,0.0644,19.545,CountVolumes,S
S008,0.0213,17.5495,CountHeartBeats,S
S008,0.0233,20.212,CountVolumes,S
S008,0.0832,26.125,CountHeartBeats,S
S008,0.0322,12.2548,Answer,S
S010,0.1903,15.1326,CountVolumes,S
S010,0.0357,12.8873,Answer,S
S010,0.08,14.4009,CountHeartBeats,S
S010,0.1609,7.7846,Answer,S
S010,0.0451,22.4666,CountVolumes,S
S010,0.0842,18.5108,CountVolumes,S
S010,0.0811,19.201,CountHeartBeats,S
S010,0.0315,5.8114,CountVolumes,S
S010,0.2686,0.8035,Answer,S
S010,0.0304,19.4385,CountHeartBeats,S
S010,0.2084,25.8661,CountVolumes,S
S010,0.0466,9.1626,CountHeartBeats,S
S010,0.2783,0.4888,Answer,S
S010,0.0393,18.9404,CountVolumes,S
S010,0.0283,14.4734,Answer,S
S010,0.0721,18.8224,CountHeartBeats,S
S010,0.2586,5.5062,Answer,S
S011,0.1285,20.534,CountVolumes,S
S011,0.0337,13.4793,Answer,S
S011,0.0711,12.6117,CountHeartBeats,S
S011,0.0557,10.4561,Answer,S
S011,0.0352,14.5011,CountVolumes,S
S011,0.0739,20.4419,Answer,S
S011,0.0407,9.3416,CountHeartBeats,S
S011,0.0556,3.5235,Answer,S
S011,0.0603,15.4722,CountVolumes,S
S011,0.0281,12.5121,Answer,S
S011,0.1388,3.7752,CountHeartBeats,S
S011,0.1142,17.1978,Answer,S
S011,0.0586,11.1007,CountVolumes,S
S011,0.0555,8.4639,Answer,S
S011,0.0412,24.1052,CountHeartBeats,S
S011,0.0209,19.1816,Answer,S
S011,0.0145,4.2783,CountVolumes,S
S011,0.049,12.4641,Answer,S
S011,0.0688,20.4597,CountHeartBeats,S
S011,0.03,6.3007,Answer,S
S011,0.0271,9.428,CountVolumes,S
S011,0.0861,0.8217,Answer,S
S011,0.0958,17.4589,CountHeartBeats,S
S011,0.08,12.8299,Answer,S
S012,0.11,13.7635,CountVolumes,S
S012,0.0701,0.0382,Answer,S
S012,0.0625,13.8811,CountHeartBeats,S
S012,0.4159,3.3979,Answer,S
S012,0.171,19.7752,CountVolumes,S
S012,0.0879,19.7984,CountHeartBeats,S
S012,0.0894,10.5349,Answer,S
S012,0.0908,5.6642,CountVolumes,S
S012,0.1233,9.6908,Answer,S
S012,0.0806,12.4451,CountHeartBeats,S
S012,0.4537,0.4897,Answer,S
S012,0.0429,11.8127,CountVolumes,S
S012,0.1823,0.2219,Answer,S
S012,0.0429,6.3952,CountHeartBeats,S
S012,0.1436,3.1598,Answer,S
S012,0.027,8.3987,CountVolumes,S
S012,0.2013,1.3472,Answer,S
S012,0.0618,8.5291,CountHeartBeats,S
S012,0.2687,0.0902,Answer,S
S012,0.0431,23.3661,CountVolumes,S
S012,0.0541,17.7154,Answer,S
S012,0.1088,0.4429,Answer,S
S014,0.0228,27.0405,CountVolumes,S
S014,0.0629,14.0721,CountHeartBeats,S
S014,0.0118,19.9748,Answer,S
S014,0.0135,23.041,CountVolumes,S
S014,0.0391,5.2846,Answer,S
S014,0.0047,22.4793,CountHeartBeats,S
S014,0.016,3.9931,Answer,S
S014,0.0204,0.0587,Answer,S
S014,0.0728,15.7182,CountHeartBeats,S
S014,0.0157,7.2885,Answer,S
S014,0.0047,20.8795,CountVolumes,S
S014,0.0144,2.5843,Answer,S
S014,0.0139,13.0136,CountHeartBeats,S
S014,0.0565,5.2749,Answer,S
S014,0.0132,19.0066,CountVolumes,S
S014,0.0174,16.5872,CountHeartBeats,S
S014,0.0103,0.9817,Answer,S
S014,0.0114,6.3898,CountVolumes,S
S014,0.0363,5.3518,Answer,S
S014,0.0311,15.1431,Answer,S
S015,0.0154,9.7578,CountVolumes,S
S015,0.0044,10.0265,CountHeartBeats,S
S015,0.0067,6.0136,CountVolumes,S
S015,0.009,7.0392,CountHeartBeats,S
S015,0.0076,16.5031,CountVolumes,S
S015,0.0047,6.0223,Answer,S
S015,0.0142,14.9646,CountHeartBeats,S
S015,0.0072,21.0251,CountVolumes,S
S015,0.0188,14.6008,CountHeartBeats,S
S015,0.0083,11.035,CountVolumes,S
S015,0.0405,11.0567,CountHeartBeats,S
S015,0.0037,13.0006,Answer,S
S015,0.0207,6.6643,CountVolumes,S
S015,0.006,6.0134,Answer,S
S015,0.0265,7.0792,CountHeartBeats,S
S015,0.0406,6.7615,Answer,S
S016,0.0048,18.3147,CountVolumes,S
S016,0.0029,7.8717,Answer,S
S016,0.0032,22.9372,CountHeartBeats,S
S016,0.002,9.2224,Answer,S
S016,0.0024,6.2112,CountVolumes,S
S016,0.0014,9.9791,Answer,S
S016,0.0021,10.5208,CountHeartBeats,S
S016,0.0017,16.73,CountVolumes,S
S016,0.0022,10.1293,Answer,S
S016,0.0019,13.225,CountHeartBeats,S
S016,0.002,15.2269,Answer,S
S016,0.0017,8.8257,CountVolumes,S
S016,0.002,15.1336,Answer,S
S016,0.0029,23.1996,CountHeartBeats,S
S016,0.0017,17.8915,Answer,S
S016,0.004,12.4483,CountVolumes,S
S016,0.0012,4.2137,Answer,S
S016,0.0024,13.1305,Answer,S
S016,0.0028,18.8044,CountVolumes,S
S016,0.0032,2.1987,Answer,S
S016,0.0024,10.209,CountHeartBeats,S
S016,0.0169,17.3257,Answer,S
S017,0.066,1.8358,CountVolumes,S
S017,0.1784,4.8541,Answer,S
S017,0.032,11.7844,CountHeartBeats,S
S017,0.0448,3.6936,Answer,S
S017,0.0489,13.0929,CountVolumes,S
S017,0.086,19.3993,Answer,S
S017,0.055,2.0884,Answer,S
S017,0.0321,15.0878,CountVolumes,S
S017,0.0407,1.7644,CountHeartBeats,S
S017,0.0203,10.7065,Answer,S
S017,0.0196,17.8094,Answer,S
S017,0.0511,0.2187,Answer,S
S017,0.0808,18.7898,Answer,S
S017,0.0284,25.7647,CountHeartBeats,S
S017,0.0443,14.4475,Answer,S
S017,0.0314,19.7035,Answer,S
