names,amplitude,latency,type,rx_time,correct,group
C008,0.018,0.7575,easy,2.5501,1.0,C
C008,0.0107,3.9046,easy,4.5167,1.0,C
C008,0.0146,2.3446,easy,1.9001,1.0,C
C008,0.1203,0.345,hard,6.6,0.0,C
C009,0.0459,1.5421,easy,6.2503,1.0,C
C009,0.0083,5.4431,easy,7.3336,0.0,C
C009,0.0125,3.2342,easy,7.9003,1.0,C
C009,0.0096,2.6178,hard,4.4502,0.0,C
C009,0.0441,4.2827,easy,4.4999,1.0,C
C009,0.0215,1.9152,easy,3.8665,1.0,C
C009,0.0183,0.9527,hard,5.7669,0.0,C
C009,0.0138,1.0889,easy,2.9001,1.0,C
C009,0.0392,2.3093,easy,2.7001,1.0,C
C009,0.0356,16.6168,easy,17.6339,1.0,C
C009,0.0245,2.6379,easy,4.2168,0.0,C
C009,0.0208,4.3958,easy,4.3502,1.0,C
C009,0.0083,16.6414,hard,6.5002,1.0,C
C009,0.0059,0.4362,easy,2.7835,1.0,C
C009,0.0327,3.5027,hard,6.8835,1.0,C
C009,0.0107,0.4971,hard,3.2835,0.0,C
C009,0.0746,1.0039,easy,6.1336,1.0,C
C010,0.1903,0.7409,easy,4.3501,1.0,C
C010,0.0324,0.6828,easy,2.7501,0.0,C
C010,0.0285,4.3528,easy,6.0669,1.0,C
C010,0.0908,3.1969,hard,5.1669,1.0,C
C010,0.0661,2.0658,easy,2.7834,1.0,C
C010,0.0942,0.6459,hard,5.2668,0.0,C
C010,0.2317,1.5382,easy,4.6002,0.0,C
C010,0.0325,1.6929,hard,4.7502,0.0,C
C010,0.0628,1.946,easy,2.3168,0.0,C
C010,0.075,7.1806,hard,5.7835,0.0,C
C010,0.0329,0.2725,hard,3.4835,0.0,C
C010,0.0703,0.8121,easy,2.8501,1.0,C
C010,0.0466,0.6981,easy,4.7669,0.0,C
C010,0.0439,0.9977,easy,1.5167,1.0,C
C010,0.0372,0.0113,easy,2.6835,1.0,C
C010,0.0214,6.8537,hard,4.7169,0.0,C
C010,0.0496,6.866,hard,6.0669,0.0,C
C010,0.0566,5.7354,hard,5.7669,0.0,C
C011,0.1764,2.0365,easy,4.0835,1.0,C
C011,0.1103,3.4969,easy,6.8503,1.0,C
C011,-0.0262,2.6269,easy,2.4501,1.0,C
C011,0.2008,0.3765,easy,2.7335,1.0,C
C011,0.0345,1.4352,easy,3.1668,1.0,C
C011,0.1816,2.9467,hard,4.5668,0.0,C
C011,0.2278,1.5718,easy,4.3668,0.0,C
C011,0.1941,1.2297,easy,3.7334,1.0,C
C011,0.1624,3.9927,hard,6.9169,0.0,C
C011,0.207,3.5771,hard,6.5336,0.0,C
C011,0.0201,0.948,hard,3.7668,0.0,C
C011,0.1116,4.5393,easy,4.5836,1.0,C
C011,0.0082,0.0815,hard,4.4835,0.0,C
C011,0.2712,3.1691,hard,5.2335,1.0,C
C011,0.0845,1.5906,hard,4.5501,0.0,C
C011,0.081,1.8975,hard,4.4501,0.0,C
C011,0.1264,0.3675,easy,2.9334,1.0,C
C011,-0.0145,0.0328,easy,2.9001,1.0,C
C011,0.3153,3.1806,easy,5.9669,0.0,C
C011,0.2008,2.3464,hard,4.8001,0.0,C
C011,0.1158,1.5748,easy,4.1835,1.0,C
C011,0.1421,0.3938,easy,2.6334,1.0,C
C011,0.2103,2.5995,easy,5.5502,1.0,C
C011,0.0253,1.5331,easy,3.9668,0.0,C
C011,0.189,0.9608,hard,3.5001,0.0,C
C011,0.0248,1.3316,easy,2.5002,1.0,C
C011,0.119,0.7391,hard,3.4168,0.0,C
C011,0.1511,1.1505,easy,2.9498,1.0,C
C011,0.1043,0.6409,easy,2.9335,1.0,C
C012,0.0198,1.6678,easy,1.5332,1.0,C
C012,0.0292,3.6729,easy,9.217,1.0,C
C012,0.0044,3.7168,easy,3.5168,1.0,C
C012,0.0194,2.0277,easy,2.3168,1.0,C
C012,0.005,0.6155,hard,0.0012,0.0,C
C012,0.0164,12.0205,hard,5.0335,0.0,C
C012,0.0126,1.3101,hard,5.0002,0.0,C
C012,0.0052,7.1887,hard,5.0002,1.0,C
C013,0.0074,1.5698,easy,2.7334,1.0,C
C013,0.0024,0.4185,hard,4.9502,1.0,C
C013,0.0107,2.92,hard,6.0002,1.0,C
C013,0.0231,0.8238,hard,4.7335,1.0,C
C013,0.0101,0.6202,easy,1.5501,1.0,C
C013,0.0051,1.4869,easy,1.3501,1.0,C
C013,0.0186,8.6844,hard,5.9169,0.0,C
C013,0.0072,0.5662,easy,3.0668,1.0,C
C013,0.0088,3.6083,hard,3.7835,1.0,C
C013,0.0075,2.9942,hard,3.7502,1.0,C
C013,0.0222,2.2831,hard,6.5836,0.0,C
C013,0.007,0.7397,easy,2.7168,1.0,C
C014,0.0058,1.1521,easy,2.5167,0.0,C
C014,0.0287,2.4485,easy,4.0335,0.0,C
C014,0.0257,2.2402,easy,2.0834,0.0,C
C014,0.0241,1.8676,easy,2.7168,0.0,C
C014,0.0599,1.7932,easy,2.8834,0.0,C
C014,0.0448,6.2692,hard,3.8668,0.0,C
C014,0.0344,4.7414,hard,6.3503,0.0,C
C014,0.0066,0.8525,easy,2.2334,0.0,C
C014,0.0189,0.2095,easy,1.6668,0.0,C
C014,0.0093,0.1612,easy,1.3498,0.0,C
C014,0.0242,0.0718,easy,2.5001,0.0,C
C014,0.0358,5.733,hard,6.6167,0.0,C
C014,-0.0024,2.977,hard,6.6836,1.0,C
C014,0.0498,5.8137,hard,6.9336,0.0,C
C014,0.0232,5.6855,hard,6.7169,0.0,C
C014,-0.0041,1.3987,easy,1.3167,0.0,C
C014,-0.0058,0.4183,easy,1.3835,0.0,C
C014,0.0465,0.5857,easy,2.3834,0.0,C
C014,0.011,0.5289,easy,2.3168,0.0,C
C014,0.0125,1.8181,easy,1.7,0.0,C
C014,0.0072,0.4775,easy,2.5835,0.0,C
C014,0.027,1.2135,easy,1.4333,1.0,C
C014,0.0385,7.5827,hard,0.0012,1.0,C
C014,0.0319,2.4575,easy,3.5168,0.0,C
C014,0.0263,1.6681,easy,4.4668,0.0,C
C014,0.0109,1.4225,hard,3.8835,0.0,C
C014,0.0201,5.4229,hard,3.9335,0.0,C
C014,0.0007,4.7835,hard,6.6002,0.0,C
C014,0.0138,8.4371,hard,5.1002,0.0,C
C014,0.0227,1.1983,easy,2.3834,0.0,C
C014,0.0185,1.0345,easy,1.5,1.0,C
C015,0.0259,0.668,easy,2.4835,1.0,C
C015,0.0068,0.1978,easy,1.3834,1.0,C
C015,0.0044,8.9087,hard,3.7835,0.0,C
C015,0.0047,0.3387,easy,1.6668,1.0,C
C015,0.016,5.9807,hard,5.8336,1.0,C
C015,0.0095,5.529,hard,5.9835,1.0,C
C015,0.0117,3.3435,hard,4.8002,1.0,C
C015,0.0372,0.2691,hard,6.8169,0.0,C
C015,0.0024,3.8117,hard,4.5669,0.0,C
C015,0.005,0.6592,easy,1.4501,1.0,C
C015,0.0105,1.1485,easy,1.8998,1.0,C
C015,0.0035,0.9203,easy,1.3501,1.0,C
C015,0.0277,0.6202,easy,1.1667,0.0,C
C015,0.0197,1.1465,hard,3.8168,1.0,C
C015,0.0127,2.8306,hard,4.8002,0.0,C
C016,0.1235,2.1968,easy,1.7167,1.0,C
C016,0.0179,0.5174,easy,1.5001,1.0,C
C016,0.0837,1.927,hard,3.5835,1.0,C
C016,0.0442,3.198,hard,3.9835,1.0,C
C016,0.0134,1.9492,easy,1.8501,1.0,C
C016,0.0479,0.4856,easy,1.7501,1.0,C
C016,0.0451,5.9089,hard,7.0003,1.0,C
C016,0.1682,0.968,easy,2.1334,1.0,C
C016,0.029,0.5997,easy,2.2501,1.0,C
C016,0.0919,11.8687,hard,5.2836,1.0,C
C016,0.1538,0.4904,hard,4.1333,1.0,C
C016,0.0648,0.5126,easy,1.6331,1.0,C
C016,0.1049,0.4447,hard,4.9002,1.0,C
C016,0.0418,0.3143,easy,1.5501,1.0,C
C016,0.0978,0.5404,easy,2.1168,1.0,C
C016,0.1235,1.23,easy,2.5668,0.0,C
C016,0.0438,7.1047,hard,6.8336,1.0,C
C016,0.0772,0.3684,easy,2.0166,1.0,C
C016,0.0981,0.442,hard,4.4002,1.0,C
C016,0.0315,0.1217,hard,4.7668,1.0,C
C016,0.0637,0.5446,easy,2.0668,1.0,C
C017,0.0911,0.0459,easy,6.4336,1.0,C
C017,0.0459,4.0245,easy,3.5835,1.0,C
C017,0.0334,7.2342,hard,0.0012,0.0,C
C017,0.1666,3.7615,hard,5.6502,0.0,C
C017,0.0934,3.3759,easy,3.3001,1.0,C
C017,0.0223,6.0851,hard,6.6336,0.0,C
C017,0.0881,5.7838,easy,5.9669,1.0,C
C017,0.2224,1.43,hard,6.8002,1.0,C
C017,0.0514,2.7862,easy,2.7332,1.0,C
C017,0.0276,1.7712,easy,3.2499,0.0,C
C017,0.1346,3.3847,hard,4.4668,1.0,C
C017,0.1871,4.7292,hard,4.6169,1.0,C
C017,0.0633,0.2984,easy,2.2168,1.0,C
C017,0.1206,3.8115,easy,3.9334,1.0,C
C017,0.0713,3.7593,hard,4.3169,1.0,C
C019,0.0094,1.8992,easy,1.8332,1.0,C
C019,0.0099,2.9022,hard,3.6335,1.0,C
C019,0.0039,2.1482,hard,4.7835,1.0,C
C019,0.0018,2.4748,hard,4.1835,1.0,C
C019,0.0052,0.9204,easy,2.8499,1.0,C
C019,0.0013,1.3962,easy,1.4667,0.0,C
C019,0.0009,2.3932,easy,2.7501,1.0,C
C019,0.0015,2.1039,easy,1.9334,1.0,C
C019,0.0018,3.4082,hard,5.2502,1.0,C
C019,0.0031,1.6154,hard,3.9335,1.0,C
C019,0.0019,0.5812,easy,1.9334,1.0,C
C019,0.0022,1.1223,easy,1.5668,1.0,C
C019,0.0021,0.0048,easy,2.7835,1.0,C
C019,0.0036,3.6434,easy,3.6335,1.0,C
C019,0.0039,1.5106,easy,2.4667,1.0,C
C019,0.0039,1.5093,easy,1.2667,1.0,C
C019,0.0037,0.38,hard,6.3502,0.0,C
C019,0.0032,0.5125,hard,6.6503,0.0,C
C019,0.0016,3.3058,hard,5.6502,1.0,C
C019,0.005,5.7565,hard,5.6836,1.0,C
C019,0.0055,4.533,hard,5.2169,1.0,C
C019,0.0018,0.9351,easy,1.5334,1.0,C
C019,0.0018,1.8602,easy,3.5169,0.0,C
C019,0.0013,1.8492,easy,1.5667,1.0,C
C019,0.0017,1.7438,easy,1.5501,1.0,C
C019,0.0028,1.654,easy,1.6334,1.0,C
C019,0.0064,2.497,easy,2.2501,1.0,C
C019,0.0033,0.6792,easy,1.3668,1.0,C
C019,0.0022,1.7791,easy,1.3167,0.0,C
C019,0.0025,4.9145,hard,5.4835,0.0,C
C019,0.0019,1.9183,hard,5.2169,1.0,C
C019,0.0024,0.1563,hard,6.3003,0.0,C
C019,0.0027,1.7471,easy,1.9168,1.0,C
C019,0.0028,3.2964,easy,4.9335,0.0,C
C019,0.0027,0.8287,easy,1.7501,1.0,C
C019,0.0038,1.5546,easy,1.75,1.0,C
C019,0.004,0.2667,easy,1.3335,1.0,C
C019,0.0025,1.3977,easy,1.1834,1.0,C
C019,0.0046,0.9207,easy,1.3167,1.0,C
C019,0.0036,1.0717,easy,1.3667,1.0,C
C019,0.0035,0.1612,easy,1.6668,1.0,C
C019,0.0032,0.9779,easy,1.3001,1.0,C
C019,0.0034,1.1489,easy,1.2001,1.0,C
C019,0.0036,2.4131,easy,2.5334,1.0,C
C019,0.0036,2.3504,easy,2.5168,1.0,C
C019,0.0041,1.2975,easy,1.5501,1.0,C
C019,0.0055,1.3584,hard,0.0012,0.0,C
C019,0.0014,0.9433,easy,3.1835,1.0,C
C019,0.0025,0.2177,easy,2.8501,0.0,C
C019,0.0019,1.8249,easy,2.3668,1.0,C
C019,0.0014,0.9424,easy,2.5334,1.0,C
C019,0.0019,0.8691,easy,1.8501,1.0,C
C019,0.002,1.4666,easy,1.8668,1.0,C
C019,0.0015,0.4201,easy,2.5167,1.0,C
C019,0.0021,2.9512,hard,4.1835,0.0,C
C019,0.0042,5.2082,hard,4.9669,1.0,C
C019,0.0043,5.7184,hard,5.2002,0.0,C
C019,0.0004,3.929,hard,5.7502,1.0,C
C019,0.0138,0.7778,hard,4.8502,1.0,C
C019,0.0025,0.2583,hard,5.7169,0.0,C
C019,0.0031,1.9419,easy,1.9001,1.0,C
C019,0.0038,0.5095,easy,1.2334,1.0,C
C019,0.0025,0.7071,easy,4.5335,1.0,C
C019,0.0021,1.6703,easy,1.3167,1.0,C
C019,0.0017,0.8104,easy,2.1334,1.0,C
C019,0.002,1.1167,easy,1.2167,1.0,C
C019,0.0023,0.3966,easy,3.5169,0.0,C
C019,0.0018,2.3644,easy,2.1834,1.0,C
C020,0.0258,1.0629,easy,2.1501,1.0,C
C020,0.0431,0.2312,easy,1.7001,1.0,C
C020,-0.0022,1.5683,easy,1.3501,1.0,C
C020,0.0335,1.0624,hard,3.9332,1.0,C
C020,0.0361,4.3774,hard,5.4002,1.0,C
C020,0.0088,0.824,hard,3.1001,1.0,C
C020,0.0224,1.0731,easy,3.3835,0.0,C
C020,0.0178,1.0728,easy,1.7167,1.0,C
C020,0.0237,1.1207,hard,5.3169,0.0,C
C020,0.0075,6.1601,hard,6.3336,1.0,C
C020,0.0286,3.7742,hard,5.4336,0.0,C
C020,0.0086,0.3343,hard,4.7002,0.0,C
C020,0.0179,0.8694,easy,1.9834,1.0,C
C020,0.0399,0.4043,easy,2.8168,0.0,C
C020,0.0079,5.0571,hard,5.6502,1.0,C
C020,0.0077,1.995,hard,6.6503,0.0,C
C020,0.0089,0.0991,hard,5.1169,0.0,C
C020,0.0065,0.9416,hard,6.1003,0.0,C
C020,0.0311,1.0403,easy,1.8501,0.0,C
C020,0.0147,1.5614,easy,1.4001,1.0,C
C020,0.0084,5.467,hard,5.7836,0.0,C
C021,0.0927,1.016,easy,1.7332,1.0,C
C021,0.0989,11.8495,hard,6.3002,1.0,C
C021,0.0622,1.9184,easy,2.8501,0.0,C
C021,0.0723,15.3687,hard,7.0169,0.0,C
C021,0.0718,0.2756,easy,2.1501,1.0,C
C021,0.0444,5.628,hard,6.3335,1.0,C
C021,0.1325,6.2927,hard,6.9002,1.0,C
C021,0.0749,0.4818,easy,1.8501,1.0,C
C021,0.0455,2.6164,easy,3.8668,0.0,C
C021,0.1591,4.3124,easy,4.6834,1.0,C
C021,0.0335,0.3826,easy,1.2167,1.0,C
C021,0.0304,3.7048,easy,5.0835,0.0,C
C021,0.0509,0.7916,easy,2.6835,1.0,C
C021,0.0426,3.4194,easy,2.9668,1.0,C
C022,0.0572,1.4613,easy,1.5667,1.0,C
C022,0.0338,0.7883,easy,2.2834,1.0,C
C022,0.0593,1.9123,easy,2.8834,1.0,C
C022,0.0235,3.415,easy,4.3501,1.0,C
C022,0.0465,0.1434,hard,3.5001,1.0,C
C022,0.0312,5.9028,hard,5.6502,1.0,C
C022,0.046,5.2782,hard,6.0002,1.0,C
C022,0.0308,2.472,easy,2.0668,1.0,C
C022,0.0156,9.4567,hard,6.3169,0.0,C
C022,0.036,1.4966,easy,4.5002,0.0,C
C022,0.0514,3.0716,easy,2.5668,1.0,C
C022,0.0225,0.6159,easy,2.2501,0.0,C
C022,0.0149,2.4593,hard,6.3169,0.0,C
C022,0.0104,3.2017,hard,5.2502,1.0,C
C022,0.0492,0.7835,easy,1.3168,1.0,C
C022,0.0315,1.7081,hard,3.3001,0.0,C
C022,0.1136,1.4666,easy,3.2501,1.0,C
C022,0.0675,1.9122,easy,1.6501,1.0,C
C022,0.054,0.0829,hard,4.6836,0.0,C
C022,0.1329,1.4193,easy,2.4665,1.0,C
C023,0.0416,2.3403,easy,2.2501,1.0,C
C023,0.0414,0.7165,easy,1.4334,1.0,C
C023,0.067,1.4863,hard,4.9002,1.0,C
C023,0.0142,3.7868,hard,4.2335,1.0,C
C023,0.0052,1.1849,easy,2.1334,1.0,C
C023,0.0265,1.3006,easy,2.0334,1.0,C
C023,0.0678,1.2204,hard,5.1002,0.0,C
C023,0.0417,4.4506,hard,4.8668,1.0,C
C023,0.0442,1.6602,easy,1.4832,1.0,C
C023,0.0249,0.8728,easy,1.3001,1.0,C
C023,0.0583,0.6747,hard,6.5834,1.0,C
C023,0.008,3.0178,hard,4.9835,1.0,C
C023,0.0297,1.6535,hard,5.3333,1.0,C
C023,0.0191,0.6308,hard,4.0168,1.0,C
C023,0.0595,0.7378,easy,1.4334,1.0,C
C023,0.0386,1.561,easy,1.5834,1.0,C
C023,0.0088,3.0083,hard,3.8669,1.0,C
C023,0.0327,0.6714,easy,1.3834,1.0,C
C023,0.0398,0.6216,easy,2.0667,1.0,C
C023,0.0266,1.6383,easy,1.4334,1.0,C
C023,0.0068,0.9983,easy,1.6,1.0,C
C023,0.027,2.0112,easy,1.7834,0.0,C
C023,0.0743,1.1856,hard,6.1502,1.0,C
C023,0.0071,1.1154,hard,4.8335,0.0,C
C023,0.0325,1.6582,easy,1.3167,1.0,C
C023,0.0185,1.1239,easy,1.3667,1.0,C
C023,0.0086,0.2244,hard,5.6669,1.0,C
C023,0.0137,1.6238,hard,3.6002,1.0,C
C023,0.0301,0.663,hard,5.0336,1.0,C
C023,0.0231,1.4353,easy,1.0667,1.0,C
S001,0.2609,1.775,easy,4.1168,0.0,S
S001,0.0533,1.8527,easy,2.9168,0.0,S
S001,0.0438,1.6464,easy,3.5001,1.0,S
S001,0.3077,0.9318,hard,4.2335,1.0,S
S001,0.0859,1.7002,easy,2.3168,0.0,S
S001,0.0595,2.3086,easy,3.7502,0.0,S
S001,0.2052,2.795,hard,6.0502,1.0,S
S001,0.0631,0.2298,easy,3.2334,1.0,S
S001,0.0457,1.4278,easy,2.9835,0.0,S
S001,0.1936,2.2394,easy,3.8168,0.0,S
S001,0.2792,12.6409,hard,5.7335,0.0,S
S001,0.2162,6.1216,hard,5.8002,0.0,S
S001,0.334,4.6665,easy,8.417,0.0,S
S001,0.0884,2.6516,easy,3.8835,0.0,S
S001,0.0833,1.8322,hard,6.7669,0.0,S
S001,0.1177,1.0564,hard,5.5169,0.0,S
S001,0.135,1.2173,easy,4.2332,0.0,S
S001,0.0322,3.8561,easy,3.3334,0.0,S
S001,0.1803,2.1588,hard,0.0013,0.0,S
S001,0.0859,7.2184,hard,5.9335,0.0,S
S001,0.1271,2.4364,easy,3.1167,0.0,S
S001,0.1503,1.4406,hard,5.7502,1.0,S
S001,0.0469,3.8647,easy,6.9336,0.0,S
S001,0.0769,1.0304,easy,4.6668,0.0,S
S002,0.0019,3.1146,easy,2.6335,1.0,S
S002,0.0038,0.4806,easy,1.4334,0.0,S
S002,0.0038,11.1584,hard,6.9336,1.0,S
S002,0.0032,3.5695,hard,4.4169,1.0,S
